id,name,state,company_id,date_order,amount_total,partner_id,create_date,create_uid,classification
289,P00289,purchase,2,2026-01-27 10:00:00,230867000.00,120,2026-07-27 15:17:23.344711,2,VALID_PORTFOLIO
290,P00290,purchase,2,2026-01-16 10:00:00,14472000.00,114,2026-07-27 15:17:30.297817,2,VALID_PORTFOLIO
291,P00291,purchase,2,2026-01-21 10:00:00,262004000.00,126,2026-07-27 15:17:37.183253,2,VALID_PORTFOLIO
292,P00292,purchase,2,2026-01-11 10:00:00,2089000.00,112,2026-07-27 15:17:44.215105,2,VALID_PORTFOLIO
293,P00293,purchase,2,2026-01-28 10:00:00,115964000.00,121,2026-07-27 15:17:51.012891,2,VALID_PORTFOLIO
294,P00294,purchase,2,2026-01-21 10:00:00,34474000.00,111,2026-07-27 15:17:58.009686,2,VALID_PORTFOLIO
295,P00295,purchase,2,2026-01-07 10:00:00,255795000.00,116,2026-07-27 15:18:04.933274,2,VALID_PORTFOLIO
296,P00296,purchase,2,2026-01-03 10:00:00,165454000.00,118,2026-07-27 15:18:12.173538,2,VALID_PORTFOLIO
297,P00297,purchase,2,2026-01-21 10:00:00,178676000.00,113,2026-07-27 15:18:19.035782,2,VALID_PORTFOLIO
298,P00298,purchase,2,2026-01-05 10:00:00,43928000.00,115,2026-07-27 15:18:25.856421,2,VALID_PORTFOLIO
299,P00299,purchase,2,2026-01-24 10:00:00,63730000.00,111,2026-07-27 15:18:32.737335,2,VALID_PORTFOLIO
300,P00300,purchase,2,2026-01-01 10:00:00,150803000.00,117,2026-07-27 15:18:39.586219,2,VALID_PORTFOLIO
301,P00301,purchase,2,2026-01-14 10:00:00,29520000.00,110,2026-07-27 15:18:46.631235,2,VALID_PORTFOLIO
302,P00302,purchase,2,2026-01-21 10:00:00,7258000.00,121,2026-07-27 15:18:53.429473,2,VALID_PORTFOLIO
303,P00303,purchase,2,2026-01-10 10:00:00,84402000.00,112,2026-07-27 15:19:00.177613,2,VALID_PORTFOLIO
304,P00304,purchase,2,2026-01-18 10:00:00,132829000.00,122,2026-07-27 15:19:07.001782,2,VALID_PORTFOLIO
305,P00305,purchase,2,2026-01-24 10:00:00,103712000.00,111,2026-07-27 15:19:13.876651,2,VALID_PORTFOLIO
306,P00306,purchase,2,2026-01-01 10:00:00,33241000.00,114,2026-07-27 15:19:20.612711,2,VALID_PORTFOLIO
307,P00307,purchase,2,2026-02-18 10:00:00,65780000.00,113,2026-07-27 15:19:27.550067,2,VALID_PORTFOLIO
308,P00308,purchase,2,2026-02-26 10:00:00,405897000.00,122,2026-07-27 15:19:34.387570,2,VALID_PORTFOLIO
309,P00309,purchase,2,2026-02-15 10:00:00,72639000.00,110,2026-07-27 15:19:41.375731,2,VALID_PORTFOLIO
310,P00310,purchase,2,2026-02-07 10:00:00,108850000.00,130,2026-07-27 15:19:48.323290,2,VALID_PORTFOLIO
311,P00311,purchase,2,2026-02-21 10:00:00,159606000.00,115,2026-07-27 15:19:55.088359,2,VALID_PORTFOLIO
312,P00312,purchase,2,2026-02-28 10:00:00,117639000.00,113,2026-07-27 15:20:02.093330,2,VALID_PORTFOLIO
313,P00313,purchase,2,2026-02-24 10:00:00,153025000.00,126,2026-07-27 15:20:09.048289,2,VALID_PORTFOLIO
314,P00314,purchase,2,2026-02-02 10:00:00,158366000.00,110,2026-07-27 15:20:15.963038,2,VALID_PORTFOLIO
315,P00315,purchase,2,2026-02-23 10:00:00,191991000.00,113,2026-07-27 15:20:22.877979,2,VALID_PORTFOLIO
316,P00316,purchase,2,2026-02-21 10:00:00,160111000.00,112,2026-07-27 15:20:29.927617,2,VALID_PORTFOLIO
317,P00317,draft,2,2026-02-21 10:00:00,45455000.00,119,2026-07-27 15:20:36.877005,2,VALID_PORTFOLIO
318,P00318,purchase,2,2026-02-08 10:00:00,94820000.00,121,2026-07-27 15:20:41.351865,2,VALID_PORTFOLIO
319,P00319,purchase,2,2026-02-02 10:00:00,27754000.00,114,2026-07-27 15:20:48.204717,2,VALID_PORTFOLIO
320,P00320,purchase,2,2026-02-21 10:00:00,51249000.00,114,2026-07-27 15:20:55.115788,2,VALID_PORTFOLIO
321,P00321,purchase,2,2026-02-04 10:00:00,128703000.00,113,2026-07-27 15:21:02.073539,2,VALID_PORTFOLIO
322,P00322,purchase,2,2026-02-28 10:00:00,108815000.00,113,2026-07-27 15:21:09.036787,2,VALID_PORTFOLIO
323,P00323,purchase,2,2026-02-10 10:00:00,19730000.00,114,2026-07-27 15:21:15.855043,2,VALID_PORTFOLIO
