variant_id,template_id,name,default_code,category,is_confirmed_transacted,is_full_transacted,classification
3,3,Virtual Interior Design,,All / Saleable / Services,True,True,non_portfolio_transacted
4,4,Virtual Home Staging,,All / Saleable / Services,True,True,non_portfolio_transacted
16,10,Corner Desk Right Sit,E-COM06,All / Saleable / Office Furniture,True,True,non_portfolio_transacted
19,13,Large Desk,E-COM09,All / Saleable / Office Furniture,True,True,non_portfolio_transacted
7,7,Office Design Software,FURN_9999,All / Saleable / Software,False,False,portfolio_non_transacted
8,8,Desk Combination,FURN_7800,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
13,9,Customizable Desk,FURN_0097,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
14,9,Customizable Desk,FURN_0098,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
26,18,Corner Desk Left Sit,FURN_1118,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
29,21,Desk Stand with Screen,FURN_7888,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
30,22,Individual Workplace,FURN_0789,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
31,23,Acoustic Bloc Screens,FURN_6666,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
34,25,Four Person Desk,FURN_8220,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
38,29,Furniture Assembly,,All / Home Construction,False,False,portfolio_non_transacted
39,30,Outdoor dining table,,All / Saleable / Outdoor furniture,False,False,portfolio_non_transacted
40,31,Desk Organizer,FURN_0001,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
41,32,Desk Pad,FURN_0002,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
42,33,Monitor Stand,FURN_0006,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
43,34,Office Combo,,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
44,35,Cable Management Box,FURN_5555,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
45,9,Customizable Desk,DESK0005,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
46,9,Customizable Desk,DESK0006,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
48,37,Chair floor protection,,All / Saleable / Office Furniture,False,False,portfolio_non_transacted
5,5,Office Chair,FURN_7777,All / Saleable / Office Furniture,True,True,portfolio_transacted
6,6,Office Lamp,FURN_8888,All / Saleable / Office Furniture,True,True,portfolio_transacted
12,9,Customizable Desk,FURN_0096,All / Saleable / Office Furniture,True,True,portfolio_transacted
25,17,Office Chair Black,FURN_0269,All / Saleable / Office Furniture,True,True,portfolio_transacted
27,19,Drawer Black,FURN_8900,All / Saleable / Office Furniture,True,True,portfolio_transacted
28,20,Flipover,FURN_9001,All / Saleable / Office Furniture,True,True,portfolio_transacted
32,23,Acoustic Bloc Screens,FURN_6667,All / Saleable / Office Furniture,True,True,portfolio_transacted
33,24,Drawer,FURN_8855,All / Saleable / Office Furniture,True,True,portfolio_transacted
35,26,Large Meeting Table,FURN_6741,All / Saleable / Office Furniture,True,True,portfolio_transacted
36,27,Three-Seat Sofa,FURN_8999,All / Saleable / Office Furniture,True,True,portfolio_transacted
49,38,Heavy Equipment Item 001,PORTFOLIO_2026_V1-PROD-001,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
50,39,Engine and Hydraulic Parts Item 002,PORTFOLIO_2026_V1-PROD-002,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
51,40,Undercarriage Parts Item 003,PORTFOLIO_2026_V1-PROD-003,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
52,41,Filters and Maintenance Parts Item 004,PORTFOLIO_2026_V1-PROD-004,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
53,42,Consumables Item 005,PORTFOLIO_2026_V1-PROD-005,Portfolio 2026 / Consumables,True,True,portfolio_transacted
54,43,Heavy Equipment Item 006,PORTFOLIO_2026_V1-PROD-006,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
55,44,Engine and Hydraulic Parts Item 007,PORTFOLIO_2026_V1-PROD-007,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
56,45,Undercarriage Parts Item 008,PORTFOLIO_2026_V1-PROD-008,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
57,46,Filters and Maintenance Parts Item 009,PORTFOLIO_2026_V1-PROD-009,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
58,47,Consumables Item 010,PORTFOLIO_2026_V1-PROD-010,Portfolio 2026 / Consumables,True,True,portfolio_transacted
59,48,Heavy Equipment Item 011,PORTFOLIO_2026_V1-PROD-011,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
60,49,Engine and Hydraulic Parts Item 012,PORTFOLIO_2026_V1-PROD-012,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
61,50,Undercarriage Parts Item 013,PORTFOLIO_2026_V1-PROD-013,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
62,51,Filters and Maintenance Parts Item 014,PORTFOLIO_2026_V1-PROD-014,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
63,52,Consumables Item 015,PORTFOLIO_2026_V1-PROD-015,Portfolio 2026 / Consumables,True,True,portfolio_transacted
64,53,Heavy Equipment Item 016,PORTFOLIO_2026_V1-PROD-016,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
65,54,Engine and Hydraulic Parts Item 017,PORTFOLIO_2026_V1-PROD-017,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
66,55,Undercarriage Parts Item 018,PORTFOLIO_2026_V1-PROD-018,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
67,56,Filters and Maintenance Parts Item 019,PORTFOLIO_2026_V1-PROD-019,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
68,57,Consumables Item 020,PORTFOLIO_2026_V1-PROD-020,Portfolio 2026 / Consumables,True,True,portfolio_transacted
69,58,Heavy Equipment Item 021,PORTFOLIO_2026_V1-PROD-021,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
70,59,Engine and Hydraulic Parts Item 022,PORTFOLIO_2026_V1-PROD-022,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
71,60,Undercarriage Parts Item 023,PORTFOLIO_2026_V1-PROD-023,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
72,61,Filters and Maintenance Parts Item 024,PORTFOLIO_2026_V1-PROD-024,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
73,62,Consumables Item 025,PORTFOLIO_2026_V1-PROD-025,Portfolio 2026 / Consumables,True,True,portfolio_transacted
74,63,Heavy Equipment Item 026,PORTFOLIO_2026_V1-PROD-026,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
75,64,Engine and Hydraulic Parts Item 027,PORTFOLIO_2026_V1-PROD-027,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
76,65,Undercarriage Parts Item 028,PORTFOLIO_2026_V1-PROD-028,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
77,66,Filters and Maintenance Parts Item 029,PORTFOLIO_2026_V1-PROD-029,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
78,67,Consumables Item 030,PORTFOLIO_2026_V1-PROD-030,Portfolio 2026 / Consumables,True,True,portfolio_transacted
79,68,Heavy Equipment Item 031,PORTFOLIO_2026_V1-PROD-031,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
80,69,Engine and Hydraulic Parts Item 032,PORTFOLIO_2026_V1-PROD-032,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
81,70,Undercarriage Parts Item 033,PORTFOLIO_2026_V1-PROD-033,Portfolio 2026 / Undercarriage Parts,True,True,portfolio_transacted
82,71,Filters and Maintenance Parts Item 034,PORTFOLIO_2026_V1-PROD-034,Portfolio 2026 / Filters and Maintenance Parts,True,True,portfolio_transacted
83,72,Consumables Item 035,PORTFOLIO_2026_V1-PROD-035,Portfolio 2026 / Consumables,True,True,portfolio_transacted
84,73,Heavy Equipment Item 036,PORTFOLIO_2026_V1-PROD-036,Portfolio 2026 / Heavy Equipment,True,True,portfolio_transacted
85,74,Engine and Hydraulic Parts Item 037,PORTFOLIO_2026_V1-PROD-037,Portfolio 2026 / Engine and Hydraulic Parts,True,True,portfolio_transacted
