File: debug_monthly_forensics.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: fix_dashboards.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: gate1_forensic_investigation.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: gate1_sales_pilot.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: generate_final_perfect_artifacts.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: oops_details.txt | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: scratch_sync.bat | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: verify_final_dashboards.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: verify_gate1.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: docs\phase11_0\dashboard_repair_decision.md | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: docs\phase11_2_live\final_data_truth.md | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: docs\phase11_2_live\remaining_dashboard_results.md | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: docs\phase11_2_primary\finance_data_availability.md | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: docs\phase11_2_repair\forensic_repair_report.md | Action: SUMMARIZE_THEN_DELETE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\fix_odoo_order_dates.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\verify_approved_forecast.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\fix_dashboard.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\app\main.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\database\Odoo_BI_Project_Final.dump | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\odoo\fix_duplicates.sql | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\odoo\repair_odoo_records.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\scratch\build_all_remaining_dashboards.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\scratch\fix_spreadsheet_schema_attributes.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\scratch\forensic_dashboard_anatomy.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\scratch\forensic_fields_audit.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: ERP-BIDSS\backend\scratch\forensic_runtime_audit.py | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
File: odoo\addons\crm_mail_plugin\static\src\to_translate\translations_gmail.xml | Action: RENAME_OR_QUARANTINE | Reason: Contains non-professional or temporary terminology
