current_path,file_name,purpose,contains_runtime_instruction,contains_unique_technical_content,contains_assistant_terminology,contains_conversation,replacement_document,classification,approved_for_deletion,notes
CHANGELOG.md,CHANGELOG.md,Active Project Documentation,True,True,False,False,CHANGELOG.md,KEEP_ACTIVE_DOCUMENTATION,False,Active documentation preserved
CODING_TREE_AND_DEPENDENCIES.md,CODING_TREE_AND_DEPENDENCIES.md,Active Project Documentation,True,True,False,False,CODING_TREE_AND_DEPENDENCIES.md,KEEP_ACTIVE_DOCUMENTATION,False,Active documentation preserved
README.md,README.md,Active Project Documentation,True,True,False,False,README.md,KEEP_ACTIVE_DOCUMENTATION,False,Active documentation preserved
SECURITY.md,SECURITY.md,Active Project Documentation,True,True,False,False,SECURITY.md,KEEP_ACTIVE_DOCUMENTATION,False,Active documentation preserved
custom_addons\README.md,README.md,Active Project Documentation,True,True,False,False,custom_addons\README.md,KEEP_ACTIVE_DOCUMENTATION,False,Active documentation preserved
docs\ARCHITECTURE.md,ARCHITECTURE.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\complete_phase_analysis.md,complete_phase_analysis.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\DATA_PIPELINE.md,DATA_PIPELINE.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\OPERATIONS.md,OPERATIONS.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\POWERBI_MODEL.md,POWERBI_MODEL.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\REPOSITORY_GOVERNANCE.md,REPOSITORY_GOVERNANCE.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase10\phase10_completion_report.md,phase10_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase10\preflight_audit.md,preflight_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase10\source_to_mart_reconciliation.md,source_to_mart_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11\analytics_data_contract.md,analytics_data_contract.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11\analytics_reconciliation.md,analytics_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11\formula_reference.md,formula_reference.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11\phase11_completion_report.md,phase11_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11\prerequisite_validation.md,prerequisite_validation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\approval_checkpoint_v2.md,approval_checkpoint_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\clone_rehearsal_plan.md,clone_rehearsal_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dashboard_alignment_specification.md,dashboard_alignment_specification.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dashboard_identity_reconciliation.md,dashboard_identity_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dashboard_repair_decision.md,dashboard_repair_decision.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dashboard_storage_audit.md,dashboard_storage_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dataset_quality_report.md,dataset_quality_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\dataset_quality_test_specification.md,dataset_quality_test_specification.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\distribution_analysis.md,distribution_analysis.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\implementation_plan.md,implementation_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\implementation_plan_v2.md,implementation_plan_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\module_data_loading_analysis.md,module_data_loading_analysis.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\odoo_dashboard_build_specification.md,odoo_dashboard_build_specification.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\phase11_0_completion_report.md,phase11_0_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\powerbi_validation_protocol.md,powerbi_validation_protocol.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\risk_register_v2.md,risk_register_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\rollback_plan_v2.md,rollback_plan_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\s2_portfolio_readiness.md,s2_portfolio_readiness.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_0\scenario_validation_report.md,scenario_validation_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\cross_system_reconciliation.md,cross_system_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\current_menu_audit.md,current_menu_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\custom_addon_implementation_plan.md,custom_addon_implementation_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\dashboard_information_architecture.md,dashboard_information_architecture.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\dashboard_kpi_catalog.md,dashboard_kpi_catalog.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\dataset_quality_report.md,dataset_quality_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\distribution_analysis.md,distribution_analysis.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\kpi_alignment_matrix.md,kpi_alignment_matrix.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\module_and_model_inventory.md,module_and_model_inventory.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\odoo_test_matrix.md,odoo_test_matrix.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
