current_path,proposed_path,proposed_name,language,imported_by,invokes_other_scripts,hardcoded_paths,top_level_execution,database_read,database_write,odoo_xmlrpc_read,odoo_xmlrpc_write,filesystem_write,subprocess_usage,runtime_category,move_status,notes
assign_group.py,scripts/assign_group.py,assign_group.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
audit_baselines.py,scripts/audit_baselines.py,audit_baselines.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
build_sales_dashboard.py,scripts/build_sales_dashboard.py,build_sales_dashboard.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
check_fields.py,scripts/check_fields.py,check_fields.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
check_portfolio.py,scripts/check_portfolio.py,check_portfolio.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
check_portfolio2.py,scripts/check_portfolio2.py,check_portfolio2.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
check_sales.py,scripts/check_sales.py,check_sales.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
check_xml_ids.py,scripts/check_xml_ids.py,check_xml_ids.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
cleanup_duplicates.py,scripts/cleanup_duplicates.py,cleanup_duplicates.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
clear_assets.py,scripts/clear_assets.py,clear_assets.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
debug_monthly_forensics.py,scripts/debug_monthly_forensics.py,debug_monthly_forensics.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
execute_phase1a.py,scripts/execute_phase1a.py,execute_phase1a.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
execute_phase1a_preconditions.py,scripts/execute_phase1a_preconditions.py,execute_phase1a_preconditions.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
find_id1_xml.py,scripts/find_id1_xml.py,find_id1_xml.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
fix_dashboards.py,scripts/fix_dashboards.py,fix_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
gate1_forensic_investigation.py,scripts/gate1_forensic_investigation.py,gate1_forensic_investigation.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
gate1_sales_pilot.py,scripts/gate1_sales_pilot.py,gate1_sales_pilot.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
generate_audited_artifacts.py,scripts/generate_audited_artifacts.py,generate_audited_artifacts.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
generate_dashboard_artifacts.py,scripts/generate_dashboard_artifacts.py,generate_dashboard_artifacts.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
generate_final_perfect_artifacts.py,scripts/generate_final_perfect_artifacts.py,generate_final_perfect_artifacts.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
inspect_models.py,scripts/inspect_models.py,inspect_models.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
investigate_scope.py,scripts/investigate_scope.py,investigate_scope.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
master_repository_restructure.py,scripts/master_repository_restructure.py,master_repository_restructure.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
product_scope_gate.py,scripts/product_scope_gate.py,product_scope_gate.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
query_dashboard.py,scripts/query_dashboard.py,query_dashboard.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
reconcile_transacted.py,scripts/reconcile_transacted.py,reconcile_transacted.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
scan_repository_inventory.py,scripts/scan_repository_inventory.py,scan_repository_inventory.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
scratch_sync.bat,scripts/scratch_sync.bat,scratch_sync.bat,Batch,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
test_granularity.py,scripts/test_granularity.py,test_granularity.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
test_pivot5_evaluation.py,scripts/test_pivot5_evaluation.py,test_pivot5_evaluation.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
test_pivot_dump.py,scripts/test_pivot_dump.py,test_pivot_dump.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
test_positional.py,scripts/test_positional.py,test_positional.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
update_odoo_conf.ps1,scripts/update_odoo_conf.ps1,update_odoo_conf.ps1,PowerShell,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
verify_dashboards.py,scripts/verify_dashboards.py,verify_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
verify_final_dashboards.py,scripts/verify_final_dashboards.py,verify_final_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
verify_gate1.py,scripts/verify_gate1.py,verify_gate1.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
custom_addons\business_intelligence\__manifest__.py,scripts/__manifest__.py,__manifest__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
